resource_id,site_id,type,plan,range,name,address,latitude,longitude
1,7,0,60,400,대우아트빌3차,"서울특별시 성동구 무수막3길 10",37.5493116000,127.0244892000
1,7,0,60,400,삼성빌6차,"서울특별시 성동구 금호산2길 14",37.5486364000,127.0210600000
1,7,0,60,400,이도빌라,"서울특별시 성동구 금호산길 39",37.5516271000,127.0192185000
1,7,0,60,400,퍼스트빌2,"서울특별시 성동구 금호산길 34",37.5511020000,127.0194978000
1,7,0,60,400,리버마이다스빌,"서울특별시 성동구 독서당로 336",37.5477337000,127.0264487000
1,7,0,60,400,재호예향빌,"서울특별시 성동구 독서당로 265",37.5468298000,127.0188364000
1,7,0,60,400,설당빌딩,"서울특별시 성동구 장터길 24",37.5482015000,127.0185751000
1,7,0,60,400,가온누리빌,"서울특별시 강동구 양재대로110길 19",37.5354988000,127.1404638000
1,7,0,60,400,강연빌,"서울특별시 강동구 명일로 200-23",37.5368774000,127.1470174000
1,7,0,60,400,골든빌,"서울특별시 강동구 명일로26길 5",37.5429776000,127.1479727000
1,7,0,60,400,광암빌딩,"서울특별시 강동구 명일로 197",37.5364544000,127.1455111000
1,7,0,60,400,길조빌딩,"서울특별시 강동구 천중로 227",37.5408770000,127.1457278000
1,7,0,60,400,길동블루빌,"서울특별시 강동구 명일로27길 45",37.5438060000,127.1453064000
2,7,0,60,400,그린파크빌,"서울특별시 강동구 양재대로126길 18",37.5437092000,127.1433966000
2,7,0,60,400,대흥빌라,"서울특별시 강동구 천중로49가길 16",37.5413349000,127.1436848000
2,7,0,60,400,다오아트빌,"서울특별시 강동구 성안로 184",37.5395661000,127.1365740000
2,7,0,60,400,뉴삼성빌,"서울특별시 강동구 천중로48길 19-11",37.5400142000,127.1422837000
2,7,0,60,400,라온오피스텔,"서울특별시 강동구 천중로 199",37.5411044000,127.1424126000
2,7,0,60,400,두원빌,"서울특별시 강동구 명일로18길 25",37.5381631000,127.1478373000
2,7,0,60,400,덕양빌딩,"서울특별시 강동구 천중로50길 35",37.5392700000,127.1426407000
2,7,0,60,400,보람빌라,"서울특별시 강동구 양재대로113길 54",37.5387056000,127.1369802000
2,7,0,60,400,민영빌딩,"서울특별시 강동구 천중로40길 50",37.5388756000,127.1379087000
2,7,0,60,400,미림빌딩,"서울특별시 강동구 천호대로177길 34",37.5359567000,127.1379759000
2,7,0,50,400,서울시산림조합빌딩,"서울특별시 강동구 명일로 243",37.5404606000,127.1467203000
2,7,0,50,400,샹스빌,"서울특별시 강동구 진황도로47길 43",37.5365542000,127.1401823000
2,7,1,50,400,새봄빌라,"서울특별시 강동구 천중로42길 15",37.5402834000,127.1395593000
2,7,1,50,400,삼성그린빌리지,"서울특별시 강동구 천중로50길 48-3",37.5387626000,127.1421235000
2,7,1,50,400,신한아트빌,"서울특별시 강동구 양재대로112길 78-1",37.5356968000,127.1439781000
2,7,1,50,400,신영빌리지,"서울특별시 강동구 천호대로193길 19-1",37.5360868000,127.1445563000
2,7,1,50,400,신동아아파트,"서울특별시 강동구 천중로 254",37.5403408000,127.1485927000
2,7,1,50,400,송진빌딩,"서울특별시 강동구 양재대로116길 7",37.5387472000,127.1409093000
2,7,1,50,400,성은빌딩,"서울특별시 강동구 천중로40길 56",37.5386944000,127.1378514000
2,7,1,50,400,선린빌딩,"서울특별시 강동구 양재대로 1448",37.5350777000,127.1393389000
2,7,1,50,400,예건네스빌,"서울특별시 강동구 천중로49길 63",37.5437432000,127.1435474000
2,7,1,50,400,엠.프라자아파트,"서울특별시 강동구 진황도로49길 59",37.5353134000,127.1431149000
2,7,1,50,400,에스엠이로빌,"서울특별시 강동구 천중로42길 53",37.5386336000,127.1389867000
2,7,1,50,400,양지빌,"서울특별시 강동구 명일로17길 28",37.5387719000,127.1448268000
2,7,1,50,400,이진빌딩,"서울특별시 강동구 명일로26길 12",37.5427032000,127.1482376000
2,7,1,50,400,원진아트빌,"서울특별시 강동구 명일로 195-2",37.5364804000,127.1453623000
2,7,1,50,400,우주빌딩,"서울특별시 강동구 성안로 156",37.5368812000,127.1354283000
2,7,1,50,400,우보빌라트,"서울특별시 강동구 천호대로187길 53-12",37.5369877000,127.1423849000
2,7,1,50,400,진성파크빌,"서울특별시 강동구 천중로40길 27",37.5397759000,127.1385967000
