plan,range,site_id,type,name,address,latitude,longitude
200,200,3,0,도림빌딩,"서울특별시 구로구 새말로 81",37.5051449000,126.8889160000
200,200,3,0,동도아르떼빌아파트,"서울특별시 구로구 가마산로27길 34",37.4984454000,126.8913133000
200,200,3,0,동헌빌딩,"서울특별시 구로구 가마산로 244",37.4946007000,126.8880523000
200,200,3,0,로얄그린빌,"서울특별시 구로구 구로동로35가길 10",37.4942525000,126.8822782000
200,200,3,0,리오파크빌,"서울특별시 구로구 구로중앙로19가길 14",37.4940003000,126.8889679000
200,200,3,0,명지빌딩,"서울특별시 구로구 공원로8길 30-9",37.5031306000,126.8914060000
200,200,3,0,무성빌라,"서울특별시 구로구 구로동로8길 18-9",37.4866516000,126.8867529000
200,200,3,0,방현빌라,"서울특별시 구로구 구로동로12길 59-12",37.4889557000,126.8863323000
200,200,3,0,보광아파트,"서울특별시 구로구 가마산로 231",37.4958769000,126.8857722000
200,200,3,0,부일빌라,"서울특별시 구로구 구로동로8길 81-5",37.4892839000,126.8874072000
200,200,3,0,삼성드림빌,"서울특별시 구로구 가마산로22길 27",37.4932357000,126.8879890000
200,200,3,0,삼성래미안아파트,"서울특별시 구로구 디지털로31길 90",37.4875908000,126.8919379000
200,200,3,0,삼성월드빌라,"서울특별시 구로구 구로동로13길 29",37.4871825000,126.8832730000
200,200,3,0,새솔금호아파트,"서울특별시 구로구 공원로 35",37.5000947000,126.8904472000
200,200,3,0,성은빌라,"서울특별시 구로구 시흥대로161가길 17",37.4801803000,126.8980412000
200,200,3,0,세명빌라,"서울특별시 구로구 구로동로15길 13-9",37.4874096000,126.8840506000
200,200,3,0,수도빌라,"서울특별시 구로구 구로동로22길 88-1",37.4880098000,126.8885580000
200,200,3,0,승일아트빌,"서울특별시 구로구 구로중앙로21길 70",37.4954048000,126.8845638000
200,200,3,0,씨제이씨아트빌,"서울특별시 구로구 가마산로20라길 20-9",37.4913512000,126.8878249000
200,200,3,0,안정빌라,"서울특별시 구로구 구로동로12길 59-14",37.4888857000,126.8862814000
200,200,3,0,영광빌라,"서울특별시 구로구 구로동로18길 58",37.4871600000,126.8876033000
200,200,3,0,영화참마음아파트,"서울특별시 구로구 구일로8길 79",37.4970864000,126.8736832000
200,200,3,0,오아시스빌딩,"서울특별시 구로구 디지털로32길 97-10",37.4832525000,126.9009804000
200,200,3,0,유명빌딩,"서울특별시 구로구 구로동로22길 8-5",37.4892784000,126.8849927000
200,200,3,0,이강빌라,"서울특별시 구로구 구로동로12길 16-4",37.4872947000,126.8858610000
200,200,3,0,재현빌딩,"서울특별시 구로구 경인로54길 15",37.5012226000,126.8783072000
200,200,3,0,조우네오빌딩,"서울특별시 구로구 시흥대로161길 24",37.4798214000,126.8980566000
200,200,3,0,중앙구로하이츠아파트,"서울특별시 구로구 구일로8길 92",37.4970779000,126.8759093000
200,200,3,0,진명빌딩,"서울특별시 구로구 구로중앙로34길 30",37.5005817000,126.8846243000
200,200,3,0,창인빌딩,"서울특별시 구로구 공원로8길 53",37.5040868000,126.8919592000
200,200,3,0,청암하이츠빌B,"서울특별시 구로구 새말로 38-19",37.5026029000,126.8852887000
200,200,3,0,청원아트빌라,"서울특별시 구로구 구로동로13길 34-5",37.4875387000,126.8829840000
200,200,3,0,태원빌딩,"서울특별시 구로구 구로중앙로32길 12",37.4992186000,126.8850652000
200,200,3,1,텍송빌딩,"서울특별시 구로구 도림로 82",37.4899380000,126.8925072000
200,200,3,1,하이빌3차,"서울특별시 구로구 구로동로42길 6",37.4960319000,126.8830008000
200,200,3,1,한영캐슬시티,"서울특별시 구로구 디지털로26길 90",37.4810828000,126.8967832000
200,200,3,1,행운빌,"서울특별시 구로구 구로중앙로14길 37-13",37.4942619000,126.8921501000
200,200,3,1,현대아트빌,"서울특별시 구로구 디지털로35길 28",37.4875468000,126.8959014000
200,200,3,1,현대파크빌,"서울특별시 구로구 공원로 41",37.5003843000,126.8898944000
200,200,3,1,혜성빌딩,"서울특별시 구로구 도림로 90",37.4903971000,126.8934458000
200,200,3,1,희원빌라,"서울특별시 구로구 디지털로32가길 79",37.4801406000,126.8971899000
200,200,3,1,구산야긴하이빌2,"서울특별시 은평구 서오릉로21길 25-9",37.6140364000,126.9070723000
200,200,3,1,금강블루빌,"서울특별시 은평구 갈현로17나길 28",37.6092972000,126.9100128000
200,200,3,1,갤러리아빌,"서울특별시 은평구 서오릉로25길 17",37.6168006000,126.9046776000
200,200,3,1,대성빌라,"서울특별시 은평구 연서로11길 12-4",37.6085663000,126.9140966000
200,200,3,1,대영월드빌A,"서울특별시 은평구 연서로13길 24-4",37.6104307000,126.9136885000
200,200,3,1,뉴아름빌,"서울특별시 은평구 갈현로17나길 29",37.6090666000,126.9102726000
200,200,3,1,금광포란재아파트,"서울특별시 은평구 서오릉로21길 34-20",37.6136671000,126.9053621000
200,200,3,1,보성리엔빌,"서울특별시 은평구 서오릉로 157-15",37.6113589000,126.9158285000
200,200,3,1,동양아파트,"서울특별시 은평구 연서로9길 16",37.6076048000,126.9133880000
200,200,3,1,동익파크아파트,"서울특별시 은평구 서오릉로21길 20",37.6149727000,126.9070632000
200,200,3,1,부창빌라,"서울특별시 은평구 갈현로 143-1",37.6109029000,126.9110149000
200,200,3,1,삼성하이빌,"서울특별시 은평구 서오릉로25가길 3-4",37.6174350000,126.9054776000
200,200,3,1,명진하이빌,"서울특별시 은평구 갈현로 169-11",37.6133658000,126.9105891000
200,200,3,1,미래씨티빌,"서울특별시 은평구 갈현로17나길 9",37.6108783000,126.9104744000
200,200,3,1,무지개아파트,"서울특별시 은평구 서오릉로27길 26-2",37.6172794000,126.9037282000
200,200,3,1,신양그린빌,"서울특별시 은평구 서오릉로17길 20-10",37.6134532000,126.9076558000
200,200,3,1,아느칸빌라,"서울특별시 은평구 연서로15길 23-1",37.6110265000,126.9141656000
200,200,3,1,새천년드림아파트,"서울특별시 은평구 갈현로 166",37.6127207000,126.9116660000
500,200,3,1,성우쉐르빌,"서울특별시 은평구 연서로13길 19-5",37.6095385000,126.9138599000
500,200,3,1,움트리빌라,"서울특별시 은평구 서오릉로13길 10-4",37.6122749000,126.9131051000
500,200,3,1,캐슬아파트,"서울특별시 은평구 연서로13길 29-32",37.6090690000,126.9129264000
500,200,3,1,장미빌라,"서울특별시 은평구 갈현로17길 7",37.6114950000,126.9105857000
500,200,3,1,진성아파트,"서울특별시 은평구 서오릉로21길 15-2",37.6144463000,126.9072903000
500,200,3,1,웨스턴빌,"서울특별시 은평구 서오릉로17길 7",37.6142587000,126.9087156000
500,200,3,1,한솔빌라,"서울특별시 은평구 서오릉로13길 12",37.6119717000,126.9133264000
500,200,3,1,한미빌라,"서울특별시 은평구 서오릉로21길 25-12",37.6137761000,126.9072128000
500,200,3,1,타운힐스빌,"서울특별시 은평구 서오릉로13길 9-9",37.6119599000,126.9139477000
500,200,3,1,청마빌딩,"서울특별시 은평구 서오릉로 271",37.6182279000,126.9058502000
500,200,3,1,홍문빌라,"서울특별시 은평구 서오릉로21길 23",37.6142712000,126.9068268000
500,200,3,1,영풍아파트,"서울특별시 마포구 토정로 198",37.5450030000,126.9329790000
500,200,3,1,정우빌딩,"서울특별시 마포구 토정로 195-1",37.5455164000,126.9328425000
500,200,3,1,대건빌딩,"서울특별시 마포구 토정로14길 10",37.5449206000,126.9323879000
500,200,3,1,현대아트빌라,"서울특별시 광진구 광나루로32길 15",37.5444233000,127.0836396000
500,200,3,1,화이트빌리지,"서울특별시 광진구 자양로41길 30",37.5505817000,127.0890205000
500,200,3,1,현주그린빌,"서울특별시 광진구 자양로50길 20",37.5519934000,127.0934874000
500,200,3,1,현대아트빌라,"서울특별시 광진구 자양로52길 7",37.5531504000,127.0938120000
500,200,3,1,현대파크빌,"서울특별시 광진구 자양로48길 26",37.5512306000,127.0935836000
500,200,3,1,현대하이츠빌라,"서울특별시 광진구 아차산로58나길 7-7",37.5354724000,127.0899113000
500,200,3,1,혜성아트빌,"서울특별시 광진구 천호대로131길 18",37.5515939000,127.0912054000
500,200,3,1,항석빌딩,"서울특별시 광진구 자양로 201",37.5456100000,127.0853933000
500,200,3,1,해피인빌,"서울특별시 광진구 자양로28길 93-8",37.5419100000,127.0896812000
500,200,3,1,현대그랑빌,"서울특별시 광진구 천호대로136길 29",37.5481322000,127.0908590000
500,200,3,1,현대빌라,"서울특별시 광진구 자양로51길 11-6",37.5535360000,127.0925655000
500,200,3,1,현대아트빌,"서울특별시 광진구 천호대로137길 36",37.5505636000,127.0937362000
500,200,3,1,플러스빌,"서울특별시 광진구 자양로23나길 11",37.5422391000,127.0823532000
